OpenAL-devel,pkgconfig(openal)
libsocialcache-devel,pkgconfig(socialcache)
libsolv-devel,pkgconfig(libsolv)
libsolv-devel,pkgconfig(libsolvext)
libsoup-devel,pkgconfig(libsoup-2.4)
libsoup3-devel,pkgconfig(libsoup-3.0)
libsrtp-devel,pkgconfig(libsrtp2)
libss-devel,pkgconfig(ss)
libsystrace-devel,pkgconfig(systrace)
libtasn1-devel,pkgconfig(libtasn1)
libtheora-devel,pkgconfig(theora)
libtheora-devel,pkgconfig(theoradec)
libtheora-devel,pkgconfig(theoraenc)
libtiff-devel,pkgconfig(libtiff-4)
libtrace-devel,pkgconfig(libsimple-trace)
libudisks2-devel,pkgconfig(udisks2)
libusb-devel,pkgconfig(libusb)
libusb-moded-qt5-devel,pkgconfig(usb-moded-qt5)
libusb1-devel,pkgconfig(libusb-1.0)
libuser-devel,pkgconfig(libuser)
libustr-devel,pkgconfig(ustr)
libuuid-devel,pkgconfig(uuid)
libvncserver-devel,pkgconfig(libvncclient)
libvncserver-devel,pkgconfig(libvncserver)
libvorbis-devel,pkgconfig(vorbis)
libvorbis-devel,pkgconfig(vorbisenc)
libvorbis-devel,pkgconfig(vorbisfile)
libvpx-devel,pkgconfig(vpx)
libwbxml2-devel,pkgconfig(libwbxml2)
libwebp-devel,pkgconfig(libsharpyuv)
libwebp-devel,pkgconfig(libwebp)
libwebp-devel,pkgconfig(libwebpdecoder)
libwebp-devel,pkgconfig(libwebpdemux)
libwebp-devel,pkgconfig(libwebpmux)
libwspcodec-devel,pkgconfig(libwspcodec)
libxcrypt-devel,pkgconfig(libcrypt)
libxcrypt-devel,pkgconfig(libxcrypt)
libxkbcommon-devel,pkgconfig(xkbcommon)
libxml2-devel,pkgconfig(libxml-2.0)
libxslt-devel,pkgconfig(libexslt)
libxslt-devel,pkgconfig(libxslt)
libyaml-devel,pkgconfig(yaml-0.1)
libzstd-devel,pkgconfig(libzstd)
libzypp-devel,pkgconfig(libzypp)
lipstick-qt5-devel,pkgconfig(lipstick-qt5)
lksctp-tools-devel,pkgconfig(libsctp)
lua-devel,pkgconfig(lua)
lvm2-devel,pkgconfig(lvm2app)
lxc-devel,pkgconfig(lxc)
lz4-devel,pkgconfig(liblz4)
lzo-devel,pkgconfig(lzo2)
maliit-framework-wayland-devel,pkgconfig(maliit-framework)
maliit-framework-wayland-devel,pkgconfig(maliit-glib)
maliit-framework-wayland-devel,pkgconfig(maliit-plugins)
maliit-framework-wayland-devel,pkgconfig(maliit-server)
mapplauncherd-devel,pkgconfig(applauncherd)
mapplauncherd-qt5-devel,pkgconfig(qdeclarative5-boostable)
mapplauncherd-qt5-devel,pkgconfig(qt5-boostable)
mesa-llvmpipe-dri-drivers-devel,pkgconfig(dri)
